iter	Passed	Remaining
0	3	305
1	5	279
2	8	267
3	10	249
4	12	246
5	15	242
6	18	240
7	20	240
8	23	239
9	26	235
10	28	232
11	31	230
12	34	228
13	36	225
14	39	226
15	42	223
16	45	220
17	47	217
18	50	216
19	53	214
20	56	211
21	59	210
22	61	207
23	64	204
24	67	201
25	69	198
26	72	195
27	75	193
28	77	190
29	80	187
30	82	184
31	85	181
32	88	179
33	90	175
34	94	174
35	97	172
36	100	170
37	103	168
38	106	165
39	108	163
40	111	160
41	112	155
42	115	152
43	117	150
44	121	148
45	124	145
46	127	143
47	130	141
48	133	138
49	138	138
50	141	135
51	144	133
52	148	131
53	151	129
54	153	125
55	156	123
56	160	120
57	162	117
58	165	114
59	166	111
60	169	108
61	172	105
62	174	102
63	177	99
64	180	97
65	183	94
66	185	91
67	188	88
68	190	85
69	193	83
70	196	80
71	198	77
72	201	74
73	204	71
74	207	69
75	210	66
76	212	63
77	216	60
78	218	58
79	221	55
80	223	52
81	227	49
82	229	46
83	231	44
84	234	41
85	237	38
86	239	35
87	242	33
88	245	30
89	248	27
90	251	24
91	253	22
92	256	19
93	257	16
94	260	13
95	264	11
96	268	8
97	273	5
98	276	2
99	279	0
